id,name,lat,lon,date,temp_min,temp_max,temp_afternoon,temp_night,temp_evening,temp_morning,precipitation_total
1,哈尔滨市,45.58,126.29,2025-04-01,2.47,10.41,9.62,2.73,7.48,2.83,5.56
1,哈尔滨市,45.58,126.29,2025-04-02,2.04,8.56,5.41,2.38,6.53,2.63,0.46
1,哈尔滨市,45.58,126.29,2025-04-03,0.95,13.64,12.23,2.66,11.04,1.35,0.0
1,哈尔滨市,45.58,126.29,2025-04-04,4.04,15.44,14.65,5.95,13.14,4.45,0.25
1,哈尔滨市,45.58,126.29,2025-04-05,4.46,9.71,7.41,9.25,6.56,5.43,0.27
1,哈尔滨市,45.58,126.29,2025-04-06,4.36,10.52,8.26,4.49,8.5,4.95,0.0
1,哈尔滨市,45.58,126.29,2025-04-07,3.56,15.06,13.93,4.37,11.72,4.1,0.96
1,哈尔滨市,45.58,126.29,2025-04-08,7.17,16.69,15.51,9.85,14.03,7.17,0.0
1,哈尔滨市,45.58,126.29,2025-04-09,8.82,20.17,19.35,9.94,16.65,9.25,0.0
1,哈尔滨市,45.58,126.29,2025-04-10,8.69,21.35,19.38,10.7,16.58,8.91,0.0
1,哈尔滨市,45.58,126.29,2025-04-11,10.35,22.75,22.26,10.84,18.37,11.72,0.55
1,哈尔滨市,45.58,126.29,2025-04-12,10.43,18.89,13.09,15.35,11.1,13.55,6.5
1,哈尔滨市,45.58,126.29,2025-04-13,6.37,10.92,10.09,7.27,10.58,9.48,11.8
1,哈尔滨市,45.58,126.29,2025-04-14,4.78,11.4,10.34,7.06,8.42,4.85,1.97
1,哈尔滨市,45.58,126.29,2025-04-15,5.16,13.21,12.19,5.16,10.76,5.8,0.52
1,哈尔滨市,45.58,126.29,2025-04-16,2.86,14.03,12.13,4.7,12.16,3.85,0.0
1,哈尔滨市,45.58,126.29,2025-04-17,6.36,19.99,17.81,7.74,17.57,7.55,0.65
1,哈尔滨市,45.58,126.29,2025-04-18,6.36,13.44,11.72,8.88,11.44,6.72,5.3
1,哈尔滨市,45.58,126.29,2025-04-19,5.3,13.66,13.02,7.64,10.81,6.1,0.0
1,哈尔滨市,45.58,126.29,2025-04-20,6.27,20.13,17.49,7.32,18.22,7.29,0.0
1,哈尔滨市,45.58,126.29,2025-04-21,10.26,18.9,18.47,14.6,11.2,14.64,14.55
1,哈尔滨市,45.58,126.29,2025-04-22,4.73,12.71,11.26,9.76,11.45,5.72,2.8
1,哈尔滨市,45.58,126.29,2025-04-23,5.48,18.44,17.45,6.73,13.61,6.77,0.0
1,哈尔滨市,45.58,126.29,2025-04-24,5.15,10.82,10.82,7.4,8.75,5.44,0.0
1,哈尔滨市,45.58,126.29,2025-04-25,3.63,10.36,7.48,6.27,9.32,4.19,0.0
1,哈尔滨市,45.58,126.29,2025-04-26,3.35,15.65,14.03,4.4,11.77,4.84,0.0
1,哈尔滨市,45.58,126.29,2025-04-27,6.42,12.62,12.05,9.33,11.16,8.16,3.01
1,哈尔滨市,45.58,126.29,2025-04-28,3.67,14.16,12.42,6.53,12.16,5.01,0.0
1,哈尔滨市,45.58,126.29,2025-04-29,6.57,20.77,18.7,9.12,19.67,8.28,0.0
